id_provincia,nombre_provincia,anio,semana_epidemiologica,total_casos
2,CABA,2018,6,2.0
2,CABA,2018,8,3.0
2,CABA,2018,9,5.0
2,CABA,2018,10,5.0
2,CABA,2018,11,6.0
2,CABA,2018,12,10.0
2,CABA,2018,13,9.0
2,CABA,2018,14,8.0
2,CABA,2018,15,11.0
2,CABA,2018,16,16.0
2,CABA,2018,17,10.0
2,CABA,2018,18,19.0
2,CABA,2018,19,4.0
2,CABA,2018,21,2.0
2,CABA,2018,24,1.0
6,Buenos Aires,2018,7,2.0
6,Buenos Aires,2018,8,1.0
6,Buenos Aires,2018,9,6.0
6,Buenos Aires,2018,10,10.0
6,Buenos Aires,2018,11,14.0
6,Buenos Aires,2018,12,9.0
6,Buenos Aires,2018,13,11.0
6,Buenos Aires,2018,14,25.0
6,Buenos Aires,2018,15,18.0
6,Buenos Aires,2018,16,14.0
6,Buenos Aires,2018,17,13.0
6,Buenos Aires,2018,18,14.0
6,Buenos Aires,2018,19,8.0
6,Buenos Aires,2018,20,3.0
6,Buenos Aires,2018,21,4.0
14,Cordoba,2018,10,1.0
14,Cordoba,2018,12,7.0
14,Cordoba,2018,13,5.0
14,Cordoba,2018,15,1.0
14,Cordoba,2018,16,2.0
14,Cordoba,2018,17,1.0
14,Cordoba,2018,21,1.0
18,Corrientes,2018,11,1.0
18,Corrientes,2018,16,1.0
18,Corrientes,2018,17,1.0
18,Corrientes,2018,18,1.0
18,Corrientes,2018,19,3.0
18,Corrientes,2018,20,6.0
18,Corrientes,2018,21,1.0
18,Corrientes,2018,23,1.0
22,Chaco,2018,4,1.0
22,Chaco,2018,10,1.0
22,Chaco,2018,11,1.0
22,Chaco,2018,12,7.0
22,Chaco,2018,13,14.0
22,Chaco,2018,14,17.0
22,Chaco,2018,15,13.0
22,Chaco,2018,16,56.0
22,Chaco,2018,17,76.0
22,Chaco,2018,18,84.0
22,Chaco,2018,19,139.0
22,Chaco,2018,20,105.0
22,Chaco,2018,21,35.0
22,Chaco,2018,22,16.0
22,Chaco,2018,23,15.0
22,Chaco,2018,27,1.0
30,Entre Rios,2018,20,1.0
31,Entre Rios,2018,14,1.0
32,Entre Rios,2018,16,1.0
33,Entre Rios,2018,16,1.0
34,Formosa,2018,1,3.0
34,Formosa,2018,3,1.0
34,Formosa,2018,7,2.0
34,Formosa,2018,8,1.0
34,Formosa,2018,9,2.0
34,Formosa,2018,10,2.0
34,Formosa,2018,11,4.0
34,Formosa,2018,12,3.0
34,Formosa,2018,13,1.0
34,Formosa,2018,18,1.0
34,Formosa,2018,19,1.0
34,Formosa,2018,20,2.0
54,Misiones,2018,2,1.0
54,Misiones,2018,8,2.0
54,Misiones,2018,10,2.0
54,Misiones,2018,11,4.0
54,Misiones,2018,12,6.0
54,Misiones,2018,13,5.0
54,Misiones,2018,14,10.0
54,Misiones,2018,15,6.0
54,Misiones,2018,16,6.0
54,Misiones,2018,17,21.0
54,Misiones,2018,18,18.0
54,Misiones,2018,19,29.0
54,Misiones,2018,20,19.0
54,Misiones,2018,21,8.0
54,Misiones,2018,22,5.0
54,Misiones,2018,26,3.0
66,Salta,2018,11,0.0
66,Salta,2018,15,1.0
66,Salta,2018,20,6.0
82,Santa Fe,2018,15,1.0
82,Santa Fe,2018,18,1.0
82,Santa Fe,2018,19,2.0
82,Santa Fe,2018,21,1.0
82,Santa Fe,2018,23,1.0
86,Santiago del Estero,2018,5,2.0
86,Santiago del Estero,2018,14,1.0
86,Santiago del Estero,2018,15,7.0
86,Santiago del Estero,2018,16,35.0
86,Santiago del Estero,2018,17,35.0
86,Santiago del Estero,2018,18,20.0
90,Tucuman,2018,14,1.0
90,Tucuman,2018,22,1.0
2,CABA,2019,3,1.0
2,CABA,2019,7,2.0
